L 34.0, -2.0, -26.6, 31.0, -10.0, -26.6, 150, 150, 150
L -22.0, -18.7, -29.6, -25.5, -19.2, -29.6, 0, 0, 0
L 733.8, -102.4, -32.7, 735.0, -99.6, -32.7, 150, 150, 150
L 752.0, -85.5, -32.7, 754.7, -84.4, -32.7, 150, 150, 150
L 199.6, 81.3, -17.8, 199.6, 77.1, -15.3, 0, 0, 0
L -37.4, 55.0, -25.1, -54.1, 53.2, -25.1, 139, 69, 19
L 448.1, -128.8, 20.0, 402.6, -128.8, 20.0, 0, 204, 0
L 115.3, -200.8, 15.9, 115.2, -190.1, 15.9, 255, 255, 0
L 822.0, -80.0, -8.7, 821.9, -73.0, -8.7, 150, 150, 150
L 830.0, -92.3, -8.7, 822.0, -80.0, -8.7, 150, 150, 150
L 21.5, 15.2, -29.6, 18.0, 14.8, -29.6, 0, 0, 0
L 456.4, -133.8, 20.0, 448.1, -128.8, 20.0, 0, 204, 0
L 27.7, -21.4, -26.6, 27.4, -24.9, -26.6, 150, 150, 150
L -31.1, 35.7, -25.6, -34.7, 36.6, -25.6, 0, 0, 0
L -38.8, 35.0, -25.6, -40.5, 30.6, -25.6, 0, 0, 0
L 789.0, -107.0, -8.7, 775.8, -107.0, -8.7, 150, 150, 150
L 206.4, 20.8, -220.8, 206.4, 6.7, -220.8, 178, 102, 255
L -34.7, 36.6, -25.6, -38.8, 35.0, -25.6, 0, 0, 0
L 402.6, -128.8, 20.0, 394.1, -134.1, 20.0, 0, 204, 0
L 783.8, -80.0, -8.7, 783.8, -73.0, -8.7, 150, 150, 150
L -26.0, 33.1, -25.6, -29.1, 36.2, -25.6, 0, 0, 0
L 775.8, -107.0, -8.7, 775.8, -92.2, -8.7, 150, 150, 150
L -40.5, 30.6, -25.6, -39.7, 27.1, -25.6, 0, 0, 0
L 778.1, -79.6, -8.7, 770.6, -91.9, -8.7, 150, 150, 150
L 217.8, 20.8, -220.8, 231.8, 20.6, -220.8, 178, 102, 255
L -19.2, 21.6, -28.6, -26.7, 28.9, -25.6, 0, 0, 0
L -16.2, 61.4, -25.1, -37.4, 55.0, -25.1, 139, 69, 19
L 775.8, -92.2, -8.7, 783.8, -80.0, -8.7, 150, 150, 150
L -29.1, 36.2, -25.6, -31.1, 35.7, -25.6, 0, 0, 0
L -39.7, 27.1, -25.6, -40.2, 25.1, -25.6, 0, 0, 0
L 462.7, -144.6, 20.0, 456.4, -133.8, 20.0, 0, 204, 0
L 0.5, -721.8, -51.7, -42.7, -721.8, -51.7, 0, 0, 0
L 14.7, 18.0, -29.6, 15.2, 21.4, -28.7, 0, 0, 0
L 31.4, -168.0, -7.7, 31.5, -182.1, -7.7, 0, 0, 0
L -201.1, -23.8, -220.8, -211.8, -23.8, -220.8, 178, 102, 255
L 27.0, 35.7, -25.6, 30.5, 36.6, -25.6, 0, 0, 0
L 217.7, 6.7, -220.8, 217.8, 20.8, -220.8, 178, 102, 255
L 1.5, -663.1, -51.7, 16.5, -675.3, -51.7, 0, 0, 0
L 881.1, -188.8, -31.7, 886.4, -183.5, -31.7, 0, 0, 0
L 886.4, -183.5, -31.7, 881.2, -186.9, -31.7, 0, 0, 0
L 841.5, -235.4, -31.6, 845.3, -223.8, -31.7, 0, 0, 0
L 16.5, -698.9, -51.7, 1.5, -711.1, -51.7, 0, 0, 0
L 12.7, 12.7, -29.6, 14.7, 18.0, -29.6, 0, 0, 0
L 845.3, -223.8, -31.7, 881.1, -223.8, -31.7, 0, 0, 0
L 778.1, -73.0, -8.7, 778.1, -79.6, -8.7, 150, 150, 150
L 770.6, -91.9, -8.7, 770.6, -118.4, -8.7, 150, 150, 150
L 21.4, 32.6, -25.6, 25.1, 36.2, -25.6, 0, 0, 0
L 881.1, -223.8, -31.7, 881.1, -188.8, -31.7, 0, 0, 0
L -16.7, 12.7, -29.6, -18.7, 18.0, -29.6, 0, 0, 0
L -211.8, -23.8, -220.8, -211.8, -9.7, -220.8, 178, 102, 255
L 770.6, -118.4, -8.7, 792.3, -118.4, -8.7, 150, 150, 150
L 886.4, -183.5, -31.7, 899.5, -170.5, -31.7, 0, 0, 0
L 16.5, -675.3, -51.7, 16.5, -698.9, -51.7, 0, 0, 0
L 783.8, -73.0, -8.7, 778.1, -73.0, -8.7, 150, 150, 150
L -18.7, 18.0, -29.6, -19.2, 21.6, -29.6, 0, 0, 0
L 15.2, 21.4, -28.7, 22.7, 28.9, -25.6, 0, 0, 0
L 856.1, -161.1, -32.7, 866.8, -145.1, -32.7, 150, 150, 150
L 42.1, -168.0, -7.7, 31.4, -168.0, -7.7, 0, 0, 0
L 840.3, -84.4, -31.7, 842.4, -94.3, -31.7, 150, 150, 150
L -42.7, -721.8, -51.7, -42.7, -711.1, -51.7, 0, 0, 0
L 25.1, 36.2, -25.6, 27.0, 35.7, -25.6, 0, 0, 0
L -485.4, 0.2, -30.4, -485.4, -10.3, -30.4, 0, 0, 0
L 857.6, -179.1, -32.7, 856.1, -161.1, -32.7, 150, 150, 150
L 54.2, -153.0, -7.7, 42.1, -168.0, -7.7, 0, 0, 0
L -81.1, -298.1, -192.8, -81.1, -269.2, -192.8, 178, 102, 255
L 851.2, -84.4, -32.7, 840.3, -84.4, -31.7, 150, 150, 150
L 18.0, 14.8, -29.6, 12.7, 12.7, -29.6, 0, 0, 0
L 881.2, -186.9, -31.7, 868.8, -188.0, -32.7, 150, 150, 150
L 868.8, -188.0, -32.7, 857.6, -179.1, -32.7, 150, 150, 150
L 866.8, -145.1, -32.7, 873.8, -125.0, -32.7, 150, 150, 150
L 22.7, 28.9, -25.6, 21.4, 32.6, -25.6, 0, 0, 0
L 217.9, -176.9, -206.8, 208.7, -176.9, -206.8, 178, 102, 255
L 145.7, 39.1, -220.8, 145.7, 9.4, -220.8, 178, 102, 255
L 842.4, -94.3, -31.7, 842.4, -129.0, -31.7, 150, 150, 150
L 34.9, 35.0, -25.6, 36.5, 30.2, -25.6, 0, 0, 0
L -92.4, -269.2, -192.8, -92.4, -275.2, -192.8, 178, 102, 255
L 30.5, 36.6, -25.6, 34.9, 35.0, -25.6, 0, 0, 0
L 870.8, -99.5, -32.7, 863.0, -91.1, -32.7, 150, 150, 150
L -202.9, -247.0, -192.8, -174.7, -247.0, -192.8, 178, 102, 255
L 183.9, 35.5, -220.8, 195.7, 20.8, -220.8, 178, 102, 255
L -231.2, -218.6, -192.8, -237.3, -218.6, -192.8, 178, 102, 255
L -603.3, 150.3, -33.9, -600.0, 150.3, -33.9, 0, 0, 0
L -214.3, -269.1, -192.8, -202.8, -269.1, -192.8, 178, 102, 255
L 217.8, -148.7, -206.8, 225.7, -140.9, -206.8, 178, 102, 255
L 36.5, 30.2, -25.6, 35.7, 27.0, -25.6, 0, 0, 0
L 194.0, -35.6, -7.7, 208.1, -35.6, -7.7, 0, 0, 0
L 208.1, -35.6, -7.7, 208.1, -46.2, -7.7, 0, 0, 0
L 208.7, -176.9, -206.8, 208.7, -148.7, -206.8, 178, 102, 255
L 145.7, 9.4, -220.8, 162.2, 9.4, -220.8, 178, 102, 255
L -92.4, -275.2, -192.8, -171.4, -275.2, -192.8, 178, 102, 255
L 872.0, -102.4, -32.7, 870.8, -99.5, -32.7, 150, 150, 150
L 225.7, -193.9, -206.8, 225.7, -184.7, -206.8, 178, 102, 255
L -202.9, -275.2, -192.8, -202.8, -269.1, -192.8, 178, 102, 255
L 86.7, 133.1, -215.2, 117.7, 119.2, -218.2, 178, 102, 255
L -231.2, -292.1, -192.8, -259.4, -292.1, -192.8, 178, 102, 255
