P 350, -100, 0, 0, 0, 0, 2, Level_1_(Top)
P 350, -75, -42, 255, 102, 255, 2, Level_2
P 350, -50, -86, 204, 0, 204, 2, Level_3
P 350, -25, -116, 178, 102, 255, 2, Level_4
P 350, 0, -149, 102, 0, 204, 2, Level_5_(Bottom)
L 28.0, -319.0, 2.0, 28.0, -359.0, 0.0, 0, 0, 0
L 28.0, -359.0, 0.0, 54.0, -378.0, -2.0, 0, 0, 0
L 54.0, -378.0, -2.0, 80.0, -378.0, -4.0, 0, 0, 0
L 80.0, -378.0, -4.0, 103.0, -362.0, -7.0, 0, 0, 0
L 103.0, -362.0, -7.0, 109.0, -343.0, -8.0, 0, 0, 0
L 109.0, -343.0, -8.0, 109.0, -301.0, -11.0, 0, 0, 0
L 78.0, -288.0, 1.0, 96.0, -293.0, -3.0, 0, 0, 0
L 96.0, -293.0, -3.0, 109.0, -301.0, -11.0, 0, 0, 0
L 28.0, -319.0, -102.0, 28.0, -309.0, -102.0, 204, 0, 204
L 28.0, -309.0, -102.0, 37.0, -303.0, -102.0, 204, 0, 204
L 42.0, -125.0, -131.0, 42.0, -124.0, -131.0, 102, 0, 204
L 42.0, -74.0, -131.0, 75.0, -74.0, -131.0, 102, 0, 204
L 75.0, -74.0, -131.0, 74.0, -100.0, -131.0, 102, 0, 204
L 75.0, -109.0, -131.0, 75.0, -122.0, -131.0, 102, 0, 204
L 75.0, -122.0, -131.0, 50.0, -122.0, -131.0, 102, 0, 204
L 79.0, -100.0, -131.0, 77.0, -100.0, -131.0, 102, 0, 204
L 75.0, -109.0, -131.0, 77.0, -109.0, -131.0, 102, 0, 204
L 78.0, -296.0, -101.0, 59.0, -296.0, -101.0, 0, 0, 255
L 59.0, -296.0, -101.0, 37.0, -303.0, -102.0, 0, 0, 255
L -73.0, -201.0, -46.0, -73.0, -204.0, -46.0, 255, 102, 255
L -65.0, -203.0, -46.0, -65.0, -201.0, -46.0, 255, 102, 255
L 86.0, -107.0, -61.0, 84.0, -98.0, -61.0, 0, 0, 255
L 84.0, -98.0, -61.0, 84.0, -82.0, -61.0, 0, 0, 255
L 84.0, -82.0, -61.0, 86.0, -76.0, -61.0, 0, 0, 255
L 86.0, -76.0, -61.0, 90.0, -74.0, -61.0, 0, 0, 255
L 86.0, -107.0, -61.0, 93.0, -109.0, -61.0, 0, 0, 255
L 93.0, -109.0, -61.0, 100.0, -106.0, -61.0, 0, 0, 255
L 100.0, -106.0, -61.0, 102.0, -98.0, -61.0, 0, 0, 255
L 102.0, -98.0, -61.0, 102.0, -81.0, -61.0, 0, 0, 255
