L -253.0, -1129.0, 118.0, -265.0, -1155.0, 118.0, 178, 102, 255
L -265.0, -1155.0, 118.0, -268.0, -1171.0, 118.0, 178, 102, 255
L -268.0, -1171.0, 118.0, -278.0, -1173.0, 118.0, 178, 102, 255
L -278.0, -1162.0, 118.0, -271.0, -1149.0, 118.0, 178, 102, 255
L -271.0, -1149.0, 118.0, -252.0, -1099.0, 118.0, 178, 102, 255
L -11.0, -534.0, 355.0, 1.0, -525.0, 348.0, 102, 255, 102
L 1.0, -525.0, 348.0, -2.0, -519.0, 343.0, 102, 255, 102
L -2.0, -519.0, 343.0, -10.0, -517.0, 335.0, 102, 255, 102
L -10.0, -517.0, 335.0, -16.0, -529.0, 325.0, 102, 255, 102
L -23.0, -533.0, 325.0, -26.0, -524.0, 328.0, 139, 69, 19
L -26.0, -524.0, 328.0, -21.0, -512.0, 332.0, 139, 69, 19
L -21.0, -512.0, 332.0, -9.0, -506.0, 336.0, 139, 69, 19
L -9.0, -506.0, 336.0, 0.0, -508.0, 339.0, 139, 69, 19
L 0.0, -508.0, 339.0, 7.0, -513.0, 341.0, 139, 69, 19
L 7.0, -513.0, 341.0, 10.0, -520.0, 344.0, 139, 69, 19
L 10.0, -520.0, 344.0, 10.0, -531.0, 348.0, 139, 69, 19
L 10.0, -531.0, 348.0, 4.0, -539.0, 351.0, 139, 69, 19
L 4.0, -539.0, 351.0, -4.0, -544.0, 355.0, 139, 69, 19
L 488.0, -1078.0, 1.0, 451.0, -1039.0, 2.0, 0, 0, 0
L 451.0, -1039.0, 2.0, 441.0, -1037.0, 5.0, 0, 0, 0
L 441.0, -1037.0, 5.0, 433.0, -1032.0, 7.0, 0, 0, 0
L 433.0, -1032.0, 7.0, 426.0, -1022.0, 8.0, 0, 0, 0
L 426.0, -1022.0, 8.0, 424.0, -1013.0, 11.0, 0, 0, 0
L 424.0, -1013.0, 11.0, 430.5, -1004.5, 13.5, 0, 204, 0
L 437.0, -996.0, 16.0, 449.0, -993.0, 19.0, 0, 204, 0
L 449.0, -993.0, 19.0, 461.0, -996.0, 22.0, 0, 204, 0
L 461.0, -996.0, 22.0, 470.0, -1005.0, 24.0, 0, 204, 0
L 470.0, -1005.0, 24.0, 470.5, -1015.0, 27.0, 0, 204, 0
L 457.0, -1017.0, 31.0, 456.0, -1013.5, 29.0, 0, 204, 0
L 455.0, -1010.0, 27.0, 452.5, -1010.2, 25.2, 0, 204, 0
L 445.0, -1011.0, 20.0, 443.5, -1014.0, 17.5, 0, 204, 0
L 442.0, -1017.0, 15.0, 443.0, -1019.5, 13.0, 0, 204, 0
L 444.0, -1022.0, 11.0, 455.0, -1021.0, 1.0, 0, 0, 0
L 357.0, -1228.0, 1.0, 348.0, -1219.0, 1.0, 0, 0, 0
L -376.0, -322.0, -2.0, -340.0, -322.0, -2.0, 0, 0, 0
L -310.0, -147.0, -2.0, -329.0, -125.0, -2.0, 0, 0, 0
L -300.0, -145.0, -2.0, -282.0, -169.0, -2.0, 0, 0, 0
L -282.0, -169.0, -2.0, -281.0, -282.0, -2.0, 0, 0, 0
L -342.0, -113.0, -2.0, -330.0, -114.0, -2.0, 0, 0, 0
L -208.0, -82.0, -2.0, -192.0, -82.0, -2.0, 0, 0, 0
L -304.0, -143.0, -2.0, -300.0, -145.0, -2.0, 0, 0, 0
L -292.0, -166.0, -2.0, -305.0, -150.0, -2.0, 0, 0, 0
L -342.0, -125.0, -2.0, -342.0, -113.0, -2.0, 0, 0, 0
L -305.0, -150.0, -2.0, -306.0, -147.0, -2.0, 0, 0, 0
L -218.0, -181.0, -2.0, -204.0, -147.0, -2.0, 0, 0, 0
L -376.0, -358.0, -2.0, -376.0, -322.0, -2.0, 0, 0, 0
L -324.0, -266.0, -2.0, -374.0, -266.0, -2.0, 0, 0, 0
L -208.0, -129.0, -2.0, -208.0, -82.0, -2.0, 0, 0, 0
L -306.0, -147.0, -2.0, -310.0, -147.0, -2.0, 0, 0, 0
L -281.0, -282.0, -2.0, -252.0, -282.0, -2.0, 0, 0, 0
L -330.0, -114.0, -2.0, -303.0, -140.0, -2.0, 0, 0, 0
L -303.0, -140.0, -2.0, -304.0, -143.0, -2.0, 0, 0, 0
L -294.0, -230.0, -2.0, -292.0, -166.0, -2.0, 0, 0, 0
L -322.0, -358.0, -2.0, -376.0, -358.0, -2.0, 0, 0, 0
L -316.0, -345.0, -2.0, -247.0, -348.0, -2.0, 0, 0, 0
L -329.0, -125.0, -2.0, -342.0, -125.0, -2.0, 0, 0, 0
L -204.0, -147.0, -2.0, -208.0, -129.0, -2.0, 0, 0, 0
L -24.0, -144.0, -2.0, -24.0, -154.0, -2.0, 0, 0, 0
L -182.0, -194.0, -2.0, -195.0, -227.0, -2.0, 0, 0, 0
L -44.0, -254.0, -2.0, -44.0, -292.0, -2.0, 0, 0, 0
L -44.0, -292.0, -2.0, -44.0, -298.0, -2.0, 0, 0, 0
L -24.0, -154.0, -2.0, -60.0, -154.0, -2.0, 0, 0, 0
L -195.0, -227.0, -2.0, -179.0, -250.0, -2.0, 0, 0, 0
L -124.0, -160.0, -2.0, -70.0, -160.0, -2.0, 0, 0, 0
L -197.0, -147.0, -2.0, -182.0, -181.0, -2.0, 0, 0, 0
L -125.0, -212.0, -2.0, -124.0, -160.0, -2.0, 0, 0, 0
L -179.0, -250.0, -2.0, -139.0, -212.0, -2.0, 0, 0, 0
L -31.0, -131.0, -2.0, -24.0, -144.0, -2.0, 0, 0, 0
L -30.0, -320.0, -2.0, -54.0, -320.0, -2.0, 0, 0, 0
L -44.0, -298.0, -2.0, -44.0, -308.0, -2.0, 0, 0, 0
L -192.0, -129.0, -2.0, -197.0, -147.0, -2.0, 0, 0, 0
L -139.0, -212.0, -2.0, -125.0, -212.0, -2.0, 0, 0, 0
L -340.0, -322.0, -2.0, -340.0, -340.0, -2.0, 0, 0, 0
L -30.0, -352.0, -2.0, -30.0, -404.0, -2.0, 0, 0, 0
L -58.0, -446.0, -2.0, -124.0, -446.0, -2.0, 0, 0, 0
L -240.0, -476.0, -2.0, -240.0, -428.0, -2.0, 0, 0, 0
L -124.0, -446.0, -2.0, -124.0, -418.0, -2.0, 0, 0, 0
L -124.0, -264.0, -2.0, -124.0, -222.0, -2.0, 0, 0, 0
L -356.0, -434.0, -2.0, -356.0, -410.0, -2.0, 0, 0, 0
L -247.0, -360.0, -2.0, -316.0, -355.0, -2.0, 0, 0, 0
L -170.0, -268.0, -2.0, -157.0, -293.0, -2.0, 0, 0, 0
L -96.0, -422.0, -2.0, -86.0, -422.0, -2.0, 0, 0, 0
L -131.0, -407.0, -2.0, -129.0, -408.0, -2.0, 0, 0, 0
L -356.0, -410.0, -2.0, -308.0, -410.0, -2.0, 0, 0, 0
L -124.0, -418.0, -2.0, -130.0, -416.0, -2.0, 0, 0, 0
L -124.0, -222.0, -2.0, -170.0, -268.0, -2.0, 0, 0, 0
L -157.0, -293.0, -2.0, -156.0, -393.0, -2.0, 0, 0, 0
L -154.0, -404.0, -2.0, -185.0, -414.0, -2.0, 0, 0, 0
L -251.0, -404.0, -2.0, -299.0, -404.0, -2.0, 0, 0, 0
L -130.0, -416.0, -2.0, -154.0, -404.0, -2.0, 0, 0, 0
L -215.0, -415.0, -2.0, -251.0, -404.0, -2.0, 0, 0, 0
L -156.0, -393.0, -2.0, -131.0, -407.0, -2.0, 0, 0, 0
L -159.0, -428.0, -2.0, -159.0, -476.0, -2.0, 0, 0, 0
L -96.0, -404.0, -2.0, -96.0, -352.0, -2.0, 0, 0, 0
L -96.0, -352.0, -2.0, -30.0, -352.0, -2.0, 0, 0, 0
L -798.0, -641.0, 23.0, -811.0, -628.0, 23.0, 0, 0, 0
L -787.0, -630.0, 23.0, -798.0, -641.0, 23.0, 0, 0, 0
L -870.0, -577.0, 23.0, -870.0, -616.0, 23.0, 0, 0, 0
L -811.0, -628.0, 23.0, -879.0, -628.0, 23.0, 0, 0, 0
L -424.0, -172.0, 23.0, -424.0, -184.0, 23.0, 0, 0, 0
L -432.0, -190.0, 23.0, -422.0, -190.0, 23.0, 0, 0, 0
