P 550, -150, 70, 102, 255, 102, 2, Fourth_Floor
P 550, -125, 50, 0, 204, 0, 2, Third_Floor
P 550, -100, 26, 0, 204, 204, 2, Second_Floor
P 550, -75, 0, 0, 0, 0, 2, First_Floor_(Ground)
P 550, -50, -21, 178, 102, 255, 2, Basement
P 550, -25, -43, 102, 0, 204, 2, Sub_Basement
L 230.0, 40.0, 0.0, 230.0, 38.0, 0.0, 0, 0, 0
L 227.0, 40.0, 0.0, 230.0, 40.0, 0.0, 0, 0, 0
L 227.0, 33.0, 0.0, 227.0, 40.0, 0.0, 0, 0, 0
L 230.0, 33.0, 0.0, 227.0, 33.0, 0.0, 0, 0, 0
L 230.0, 35.0, 0.0, 230.0, 33.0, 0.0, 0, 0, 0
L 261.0, 35.0, 0.0, 230.0, 35.0, 0.0, 0, 0, 0
L 261.0, 33.0, 0.0, 261.0, 35.0, 0.0, 0, 0, 0
L 264.0, 33.0, 0.0, 261.0, 33.0, 0.0, 0, 0, 0
L 264.0, 40.0, 0.0, 264.0, 33.0, 0.0, 0, 0, 0
L 261.0, 40.0, 0.0, 264.0, 40.0, 0.0, 0, 0, 0
L 261.0, 38.0, 0.0, 261.0, 40.0, 0.0, 0, 0, 0
L 230.0, 38.0, 0.0, 261.0, 38.0, 0.0, 0, 0, 0
L -103.0, -56.0, 0.0, -103.0, -69.0, 0.0, 199, 21, 133
L -99.0, 84.0, 0.0, -97.0, 84.0, 0.0, 0, 0, 0
L 184.0, -7.0, -21.0, 191.0, -7.0, -21.0, 178, 102, 255
L 184.0, 23.0, -21.0, 184.0, -7.0, -21.0, 178, 102, 255
L 191.0, 23.0, -21.0, 184.0, 23.0, -21.0, 178, 102, 255
L 192.0, 23.0, -21.0, 191.0, 23.0, -21.0, 178, 102, 255
L 191.0, 32.0, -21.0, 192.0, 32.0, -21.0, 178, 102, 255
L 184.0, 32.0, -21.0, 191.0, 32.0, -21.0, 178, 102, 255
L 184.0, 55.0, -21.0, 184.0, 32.0, -21.0, 178, 102, 255
L 191.0, 55.0, -21.0, 184.0, 55.0, -21.0, 178, 102, 255
L 192.0, 55.0, -21.0, 191.0, 55.0, -21.0, 178, 102, 255
L 215.0, 59.0, -21.0, 192.0, 59.0, -21.0, 178, 102, 255
L 223.0, 55.0, -21.0, 215.0, 55.0, -21.0, 178, 102, 255
L 224.0, 55.0, -21.0, 223.0, 55.0, -21.0, 178, 102, 255
